id_pedido,dt_pedido,fl_ketchup,desc_uf,txt_recado
111,2023-05-13T23:33:55.000+0000,FALSE,SP,null
112,2023-05-13T23:40:43.000+0000,TRUE,MG,Capricha na cogumelo e se possívle faz a pizza a palito. Parabéns pelo material que oferem é incrivel.
113,2023-05-14T00:14:34.000+0000,TRUE,SP,Só aguardando o preparo da pizza com o capricho de sempre! Vaaaiiii!!!
114,2023-05-14T04:44:51.000+0000,FALSE,RJ,SQL - Salve Querido Linuxtips
115,2023-05-14T06:53:14.000+0000,TRUE,PR,Vai acabar tudo em Pizza !!!
116,2023-05-14T07:21:37.000+0000,FALSE,BA,Tem que chegar quente!
117,2023-05-14T08:08:52.000+0000,FALSE,SP,null
118,2023-05-14T09:32:54.000+0000,TRUE,PB,Capricha no gorgonzola e manda sachê de mostarda porfavor
119,2023-05-14T12:11:35.000+0000,FALSE,RS,null
120,2023-05-14T14:48:37.000+0000,FALSE,RJ,Caprichem hein!!
121,2023-05-14T15:52:33.000+0000,TRUE,SP,Capricha na PIZZA!!!
122,2023-05-14T16:09:07.000+0000,TRUE,RJ,null
123,2023-05-14T16:12:15.000+0000,TRUE,PA,null
124,2023-05-14T16:22:37.000+0000,FALSE,ES,me vê uma none pizza with left beef
125,2023-05-14T16:35:09.000+0000,TRUE,SP,null
126,2023-05-14T18:08:31.000+0000,TRUE,GO,Bota pra assar!!!
127,2023-05-14T18:38:38.000+0000,FALSE,SP,"Obrigada por disponibilizar conteúdos f*das para todos! Espero conseguir chegar no nível de vocês para também compartilhar conhecimento! Um abraço, Adelita."
128,2023-05-14T19:07:06.000+0000,FALSE,SP,Estou ansioso para o treinamento
129,2023-05-14T19:14:14.000+0000,TRUE,GO,null
130,2023-05-14T19:36:32.000+0000,FALSE,SP,null
131,2023-05-14T19:55:46.000+0000,FALSE,RJ,Favor adicionar orégano e pouco molho de tomate! Obrigada!
132,2023-05-14T21:50:41.000+0000,TRUE,GO,Pizza que é good nois não have
133,2023-05-14T23:12:40.000+0000,TRUE,GO,null
134,2023-05-14T23:38:42.000+0000,FALSE,RS,"Explica de vagar por que eu não entendo nada. Parabéns pessoal! Até breve!"""
135,2023-05-15T02:25:38.000+0000,TRUE,PE,null
136,2023-05-15T07:44:46.000+0000,TRUE,SP,null
137,2023-05-15T07:54:31.000+0000,TRUE,RJ,Me parece que o comunismo cresce
138,2023-05-15T08:26:26.000+0000,TRUE,MG,null
139,2023-05-15T08:36:15.000+0000,TRUE,PR,null
140,2023-05-15T08:50:03.000+0000,TRUE,SP,N
141,2023-05-15T08:53:53.000+0000,TRUE,PR,null
142,2023-05-15T08:58:23.000+0000,FALSE,SC,null
143,2023-05-15T09:03:05.000+0000,FALSE,PR,VAIIII!!!
144,2023-05-15T09:17:08.000+0000,FALSE,MG,null
145,2023-05-15T09:28:23.000+0000,TRUE,RS,null
146,2023-05-15T09:28:44.000+0000,TRUE,CE,null
147,2023-05-15T09:59:50.000+0000,TRUE,RJ,null
148,2023-05-15T10:59:31.000+0000,TRUE,RJ,null
149,2023-05-15T11:56:49.000+0000,FALSE,MG,Bota queijo vegano na próxima pesquisa hehehehe
150,2023-05-15T12:04:43.000+0000,TRUE,MG,null
151,2023-05-15T12:55:34.000+0000,TRUE,BA,null
152,2023-05-15T12:57:46.000+0000,FALSE,SP,null
153,2023-05-15T13:00:56.000+0000,FALSE,ES,É uma pizza vegana.
154,2023-05-15T13:18:46.000+0000,FALSE,CE,Vcs são muito massa! 😎😎
155,2023-05-15T14:03:25.000+0000,TRUE,DF,Refrigerante zero! :)
156,2023-05-15T14:37:43.000+0000,TRUE,PB,null
157,2023-05-15T14:38:40.000+0000,FALSE,PR,Queroe al bem tostada por gentileza e com bastante manjericão
158,2023-05-15T14:38:49.000+0000,FALSE,SP,null
159,2023-05-15T16:16:44.000+0000,TRUE,ES,null
160,2023-05-15T18:11:49.000+0000,FALSE,MT,"Quentinha, valeu!"
161,2023-05-15T18:27:26.000+0000,FALSE,MT,null
162,2023-05-15T19:34:37.000+0000,FALSE,PR,null
163,2023-05-15T19:48:09.000+0000,TRUE,BA,Fazer a pizza em forno a lenha.
164,2023-05-15T19:59:30.000+0000,TRUE,SP,null
165,2023-05-15T20:15:58.000+0000,FALSE,RS,null
166,2023-05-15T20:36:22.000+0000,FALSE,SP,null
167,2023-05-15T21:09:09.000+0000,TRUE,RO,null
168,2023-05-15T21:23:34.000+0000,FALSE,SC,null
169,2023-05-15T21:54:15.000+0000,FALSE,MG,null
170,2023-05-15T23:02:43.000+0000,TRUE,RS,Vamos a todo vapooor!!!
171,2023-05-15T23:30:52.000+0000,FALSE,DF,null
172,2023-05-16T03:46:53.000+0000,TRUE,ES,Let's go
173,2023-05-16T07:24:01.000+0000,TRUE,SP,Obrigado
174,2023-05-16T07:24:26.000+0000,TRUE,RJ,null
175,2023-05-16T08:15:15.000+0000,FALSE,SP,Capricha na mussarela
176,2023-05-16T08:37:37.000+0000,FALSE,RJ,Obrigada
177,2023-05-16T09:29:47.000+0000,TRUE,CE,null
178,2023-05-16T09:30:19.000+0000,FALSE,SP,null
179,2023-05-16T09:47:38.000+0000,TRUE,RN,null
180,2023-05-16T11:18:18.000+0000,TRUE,PE,Espero q entregue em Pernambuco.
181,2023-05-16T11:27:28.000+0000,TRUE,SP,null
182,2023-05-16T13:08:14.000+0000,TRUE,RJ,Parabéns pela iniciativa MASSA :D
183,2023-05-16T13:34:35.000+0000,FALSE,RS,null
184,2023-05-16T14:13:50.000+0000,TRUE,SP,null
185,2023-05-16T15:51:07.000+0000,TRUE,MT,De da Água na Boca
186,2023-05-16T15:52:52.000+0000,FALSE,MG,null
187,2023-05-16T15:54:04.000+0000,FALSE,SP,Fazer pizza é tão simples quanto voar. VAAIIII
188,2023-05-16T15:56:43.000+0000,TRUE,PR,null
189,2023-05-16T15:59:57.000+0000,FALSE,SP,null
190,2023-05-16T16:03:58.000+0000,FALSE,SP,null
191,2023-05-16T16:04:34.000+0000,TRUE,SC,null
192,2023-05-16T16:11:57.000+0000,TRUE,RS,Capricha nos quejos! hahah
193,2023-05-16T16:12:54.000+0000,TRUE,MG,#VAAAI
194,2023-05-16T16:18:04.000+0000,FALSE,SP,null
195,2023-05-16T16:24:19.000+0000,FALSE,RS,Desejo a todos uma linda e rica experiência.  Obrigada pela oportunidade!
196,2023-05-16T16:33:52.000+0000,TRUE,BA,null
197,2023-05-16T17:04:04.000+0000,TRUE,MT,null
198,2023-05-16T17:16:11.000+0000,FALSE,RS,null
199,2023-05-16T17:31:20.000+0000,TRUE,MG,null
200,2023-05-16T17:43:03.000+0000,TRUE,BA,"inclua nesse pedido, uma porção grande de aprendizado"
201,2023-05-16T18:27:43.000+0000,TRUE,MA,Obligado
202,2023-05-16T19:36:34.000+0000,TRUE,SP,entrega do projeto pontual. vaaaiii!
203,2023-05-16T19:39:35.000+0000,FALSE,SP,null
204,2023-05-16T20:00:49.000+0000,FALSE,SP,null
205,2023-05-16T20:08:23.000+0000,FALSE,SP,#Vaaaaaaaaaaai
206,2023-05-16T20:33:16.000+0000,FALSE,SP,null
207,2023-05-16T20:37:29.000+0000,TRUE,RJ,null
208,2023-05-16T20:41:47.000+0000,FALSE,PR,null
209,2023-05-16T20:57:43.000+0000,TRUE,SE,Iniciativas como essas tá ajudando muito nesse momento de lay off onde as empresas passaram a pedir SQL. Muito obrigada pela oportunidade de aprender com vocês!
210,2023-05-16T21:13:51.000+0000,FALSE,PE,brabos dms
211,2023-05-16T21:43:58.000+0000,TRUE,GO,Zika da Galáxia
212,2023-05-16T22:16:05.000+0000,TRUE,RJ,null
213,2023-05-16T22:50:56.000+0000,FALSE,CE,"Não se preocupem, vou esperar na portaria, entregador não precisa e não deve subir! :]"
214,2023-05-16T23:44:54.000+0000,TRUE,MG,null
215,2023-05-17T08:35:00.000+0000,FALSE,SP,"vocês são demais, quero apresender cada vez mais com vocês"
216,2023-05-17T08:36:50.000+0000,FALSE,SP,Mamma mia
217,2023-05-17T09:14:36.000+0000,TRUE,SP,Caprichar na Cebola
218,2023-05-17T09:25:39.000+0000,TRUE,MG,null
219,2023-05-17T09:28:31.000+0000,FALSE,SC,Caprichem no recheio! :D
220,2023-05-17T10:20:22.000+0000,TRUE,RJ,null
221,2023-05-17T10:29:46.000+0000,FALSE,PR,Pra cima piázada! Evento será top!
222,2023-05-17T10:52:46.000+0000,FALSE,SC,Bora la
223,2023-05-17T10:55:05.000+0000,TRUE,SC,Capricha no recheio!
224,2023-05-17T10:56:39.000+0000,FALSE,MG,Caprichar no recheio
225,2023-05-17T11:12:43.000+0000,FALSE,PE,caprichem!
226,2023-05-17T11:33:29.000+0000,FALSE,SP,null
227,2023-05-17T11:34:34.000+0000,TRUE,PE,null
228,2023-05-17T11:46:01.000+0000,TRUE,CE,null
229,2023-05-17T12:11:53.000+0000,FALSE,MG,Se tiver maionese temperada eu aceito.
230,2023-05-17T12:18:13.000+0000,FALSE,PR,null
231,2023-05-17T12:26:05.000+0000,FALSE,BA,null
232,2023-05-17T12:30:10.000+0000,TRUE,RJ,null
233,2023-05-17T12:42:21.000+0000,FALSE,AL,VAI!!
234,2023-05-17T12:42:26.000+0000,FALSE,SP,null
235,2023-05-17T13:15:41.000+0000,FALSE,SP,Mamamia
